Name,Matrices,Rows (av),Rows (min),Rows (max),Columns (av),Columns (min),Columns (max),Cells,Header,Extra,Valued,Boolean,Integer,Double,VariabilityConceptRef,Partial,Unknown,Empty,Inconsistent,And,Or,XOr
Comparison_of_3D_computer_graphics_software,3,17.672897196261683,21,44,2.696261682242991,6,7,642,114,3,525,261,0,0,146,6,4,0,0,108,0,0
Comparison_of_802.15.4_radio_modules,4,26.423589093214964,4,68,7.755231452124287,13,17,1577,147,4,1426,0,50,0,1044,10,1,90,0,208,23,0
Comparison_of_accounting_software,3,19.813333333333333,21,69,8.633333333333333,8,30,1350,150,11,1189,423,4,18,318,8,13,269,0,135,1,0
Comparison_of_ADC_software,12,5.9188900747065105,9,14,3.1141942369263607,4,13,937,188,87,662,401,0,0,133,2,40,49,0,37,0,0
Comparison_of_ad_servers,3,5.6299212598425195,2,14,4.074803149606299,7,13,254,53,3,198,82,6,1,26,17,4,0,0,62,0,0
Comparison_of_agent-based_modeling_software,1,41.5,84,84,4.0,9,9,756,91,1,664,37,0,0,150,45,212,0,0,215,5,0
Comparison_of_alcopops,6,4.69435736677116,5,16,5.537617554858934,11,13,638,175,12,451,397,0,0,46,1,4,3,0,0,0,0
Comparison_of_AMD_chipsets,6,7.810326659641728,7,25,5.285563751317176,8,15,949,136,43,770,73,70,17,272,44,3,148,0,140,3,0
Comparison_of_AMD_CPU_microarchitectures,1,5.0,11,11,2.0,5,5,55,14,1,40,0,1,0,7,17,0,13,0,2,0,0
Comparison_of_Android_devices,26,94.49780910649648,2,241,7.056201181177367,4,17,5249,863,45,4341,128,457,329,1008,287,21,1102,0,990,19,0
Comparison_of_Android_e-book_reader_software,5,8.57035175879397,16,22,6.517587939698492,9,16,1194,140,72,982,655,0,0,20,0,307,0,0,0,0,0
Comparison_of_antivirus_software,10,27.630915709885187,5,91,8.90198823858863,15,20,3571,495,172,2904,1963,154,0,517,6,85,177,0,2,0,0
Comparison_of_application_virtualization_software,2,17.014018691588785,12,44,3.4205607476635516,7,10,428,69,2,357,121,0,0,91,3,4,92,0,43,3,0
Comparison_of_assemblers,7,9.180995475113122,5,27,1.8665158371040724,4,6,442,113,7,322,66,1,0,197,1,5,0,0,52,0,0
Comparison_of_ATI_chipsets,4,5.52991452991453,9,14,4.634615384615385,9,11,468,116,8,344,18,80,0,60,25,0,74,0,87,0,0
Comparison_of_audio_formats,6,16.584625322997415,8,43,4.785529715762274,6,14,1548,203,6,1339,528,17,7,358,181,64,26,0,154,4,0
Comparison_of_audio_synthesis_environments,4,6.283333333333333,13,14,4.1119047619047615,4,12,420,87,5,328,95,8,4,94,4,1,57,0,65,0,0
Comparison_of_behavioral_experiment_software,1,14.5,30,30,2.5,6,6,180,34,1,145,68,0,0,72,0,4,0,0,1,0,0
Comparison_of_birth_control_methods,1,17.0,35,35,3.0,7,7,245,39,8,198,0,19,19,112,26,3,8,0,10,1,0
Comparison_of_BitTorrent_sites,1,23.0,47,47,5.5,12,12,564,56,13,495,290,5,0,74,0,125,0,0,1,0,0
Comparison_of_BitTorrent_tracker_software,1,4.0,9,9,2.0,5,5,45,12,1,32,0,0,0,19,2,0,0,0,11,0,0
Comparison_of_brainwave_entrainment_software,3,5.5,12,12,2.9473684210526314,5,9,228,49,3,176,105,0,11,30,25,2,0,0,3,0,0
Comparison_of_BSD_operating_systems,3,14.561433447098976,10,38,4.5699658703071675,8,11,586,94,16,476,23,5,21,187,18,55,41,0,124,2,0
Comparison_of_business_integration_software,3,15.175054704595185,25,40,7.753464624361779,8,21,1371,168,5,1198,544,11,32,141,1,1,442,0,26,0,0
Comparison_of_Business_Process_Modeling_Notation_tools,1,19.0,39,39,3.5,8,8,312,44,9,259,0,28,0,151,10,0,26,0,44,0,0
"Comparison_of_CAD,_CAM_and_CAE_file_viewers",1,9.5,20,20,4.5,10,10,200,28,1,171,70,4,8,37,29,1,0,0,22,0,0
Comparison_of_CalDAV_and_CardDAV_implementations,2,9.393203883495145,16,26,5.606796116504855,6,16,412,60,2,350,173,0,0,61,0,112,0,0,4,0,0
Comparison_of_California_ski_resorts,1,14.0,29,29,5.0,11,11,319,38,1,280,0,78,0,142,0,4,1,0,55,0,0
Comparison_of_Canadian-tax_preparation_software_for_personal_use,1,10.0,21,21,5.0,11,11,231,30,1,200,42,8,0,84,17,23,0,0,21,5,0
Comparison_of_chess_video_games,2,18.0,37,37,2.4545454545454546,4,7,407,81,2,324,13,36,0,83,4,15,155,0,18,0,0
Comparison_of_cluster_software,2,16.766798418972332,7,43,4.940711462450593,9,17,506,70,28,408,16,0,0,140,21,1,158,0,72,0,0
Comparison_of_code_generation_tools,2,22.972131147540985,46,48,2.763934426229508,6,7,610,103,2,505,0,32,10,286,35,0,44,0,98,0,0
Comparison_of_cognitive_architectures,1,8.5,18,18,4.5,10,10,180,26,1,153,1,2,0,15,1,97,32,0,5,0,0
Comparison_of_Colorado_ski_resorts,1,13.0,27,27,4.0,9,9,243,34,1,208,0,181,0,0,0,1,0,0,26,0,0
Comparison_of_consumer_brain–computer_interfaces,1,6.5,14,14,4.5,10,10,140,22,1,117,22,13,0,46,2,4,16,0,14,0,0
Comparison_of_continuous_integration_software,2,17.0,35,35,11.18918918918919,9,28,1295,103,2,1190,910,0,0,99,8,54,29,0,90,0,0
Comparison_of_CRM_systems,2,14.254237288135593,29,30,4.0,9,9,531,72,11,448,103,52,6,123,2,99,12,0,47,4,0
Comparison_of_crowd_funding_services,3,16.944700460829495,2,36,2.4815668202764978,4,6,434,83,3,348,0,0,0,172,0,0,121,0,47,8,0
Comparison_of_database_tools,4,14.663811563169165,24,34,6.5610278372591,6,18,1401,164,5,1232,699,1,25,185,16,125,141,0,39,1,0
Comparison_of_data_modeling_tools,2,7.564315352697095,15,17,3.2821576763485476,7,8,241,41,17,183,34,11,0,63,7,2,2,0,63,1,0
Comparison_of_debuggers,1,2.0,5,5,2.5,6,6,30,9,1,20,0,0,0,14,0,2,0,0,4,0,0
Comparison_of_defragmentation_software,1,8.5,18,18,5.5,12,12,216,27,13,176,60,0,3,31,26,0,27,0,29,0,0
Comparison_of_dental_practice_management_software,1,13.0,27,27,5.0,11,11,297,36,1,260,78,0,0,93,0,0,56,0,33,0,0
Comparison_of_desktop_application_launchers,4,5.176136363636363,2,13,4.3977272727272725,9,10,352,67,4,281,92,0,31,119,7,6,0,0,26,0,0
Comparison_of_desktop_publishing_software,4,8.55511811023622,11,21,3.423228346456693,5,10,508,86,28,394,326,9,0,22,10,0,3,0,24,0,0
